group,trend,location,type,choice,reason,certainty,time,order,replicate,id,detect
B,all cities,12,Geography,6,2,3,2019-10-31 01:45:35,5,1,B17,0
B,three cities,12,Hexagons,12,2,3,2019-10-31 01:45:57,6,9,B17,1
B,three cities,5,Hexagons,5,4,3,2019-10-31 01:46:19,7,10,B17,1
B,all cities,9,Hexagons,9,2,3,2019-10-31 01:46:32,8,4,B17,1
B,NW-SE,3,Hexagons,3,3,3,2019-10-31 01:46:53,9,6,B17,1
B,all cities,4,Geography,11,3,3,2019-10-31 01:47:37,10,3,B17,0
B,NW-SE,5,Geography,11,3,3,2019-10-31 01:47:37,11,7,B17,0
B,NW-SE,2,Hexagons,7,2,3,2019-10-31 01:48:09,12,5,B17,0
B,NW-SE,5,Geography,2,1,4,2019-10-27 04:38:26,1,7,B18,0
B,three cities,8,Geography,5,1,4,2019-10-27 04:38:37,2,11,B18,0
B,all cities,12,Geography,6,1,4,2019-10-27 04:38:48,3,1,B18,0
B,three cities,5,Hexagons,1,2,2,2019-10-27 04:39:05,4,10,B18,0
B,all cities,9,Hexagons,0,0,3,2019-10-27 04:39:06,5,4,B18,0
B,all cities,3,Hexagons,11,1,3,2019-10-27 04:39:21,6,2,B18,0
B,NW-SE,3,Hexagons,3,3,3,2019-10-27 04:39:37,7,6,B18,1
B,all cities,4,Geography,11,1,4,2019-10-27 04:39:48,8,3,B18,0
B,NW-SE,6,Geography,4,2,3,2019-10-27 04:39:54,9,8,B18,0
B,three cities,12,Hexagons,12,1,2,2019-10-27 04:40:19,10,9,B18,1
B,three cities,9,Geography,4,2,4,2019-10-27 04:40:27,11,12,B18,0
B,NW-SE,2,Hexagons,2,1,3,2019-10-27 04:41:10,12,5,B18,1
B,all cities,12,Geography,6,2,1,2019-10-28 02:11:00,1,1,B19,0
B,all cities,4,Geography,11,2,2,2019-10-28 02:11:21,2,3,B19,0
B,NW-SE,6,Geography,6,1,2,2019-10-28 02:11:32,3,8,B19,1
B,all cities,9,Hexagons,9,1,3,2019-10-28 02:11:48,4,4,B19,1
B,all cities,3,Hexagons,0,1,2,2019-10-28 02:12:09,5,2,B19,0
B,three cities,12,Hexagons,12,2,2,2019-10-28 02:12:30,6,9,B19,1
B,three cities,5,Hexagons,9,3,1,2019-10-28 02:13:04,7,10,B19,0
B,three cities,9,Geography,10,4,1,2019-10-28 02:13:22,8,12,B19,0
B,three cities,8,Geography,5,2,1,2019-10-28 02:13:36,9,11,B19,0
B,NW-SE,3,Hexagons,8,2,1,2019-10-28 02:14:21,10,6,B19,0
B,NW-SE,5,Geography,3,0,1,2019-10-28 02:14:44,11,7,B19,0
B,NW-SE,2,Hexagons,9,2,1,2019-10-28 02:15:08,12,5,B19,0
B,all cities,12,Geography,6,1,3,2019-10-24 06:00:26,1,1,B20,0
B,NW-SE,3,Hexagons,4,1,3,2019-10-24 06:01:00,2,6,B20,0
B,three cities,9,Geography,4,3,4,2019-10-24 06:02:37,3,12,B20,0
B,three cities,5,Hexagons,4,1,3,2019-10-24 06:03:10,4,10,B20,0
B,NW-SE,5,Geography,5,2,4,2019-10-24 06:03:48,5,7,B20,1
B,NW-SE,2,Hexagons,2,1,3,2019-10-24 06:04:36,6,5,B20,1
B,all cities,3,Hexagons,3,1,5,2019-10-24 06:05:09,7,2,B20,1
B,all cities,4,Geography,11,1,4,2019-10-24 06:05:24,8,3,B20,0
B,three cities,8,Geography,5,1,5,2019-10-24 06:05:36,9,11,B20,0
B,three cities,12,Hexagons,2,3,3,2019-10-24 06:06:03,10,9,B20,0
B,all cities,9,Hexagons,1,1,4,2019-10-24 06:06:22,11,4,B20,0
B,NW-SE,6,Geography,6,1,4,2019-10-24 06:06:49,12,8,B20,1
B,all cities,3,Hexagons,3,1,5,2019-10-27 10:42:45,1,2,B21,1
B,NW-SE,3,Hexagons,3,2,5,2019-10-27 10:43:21,2,6,B21,1
B,all cities,12,Geography,12,3,3,2019-10-27 10:44:28,3,1,B21,1
B,three cities,8,Geography,12,3,3,2019-10-27 10:44:31,4,11,B21,0
B,NW-SE,2,Hexagons,2,2,5,2019-10-27 10:45:08,5,5,B21,1
B,three cities,9,Geography,4,2,3,2019-10-27 10:45:36,6,12,B21,0
B,three cities,12,Hexagons,12,1,5,2019-10-27 10:45:58,7,9,B21,1
B,all cities,9,Hexagons,9,1,5,2019-10-27 10:46:14,8,4,B21,1
B,NW-SE,6,Geography,6,2,3,2019-10-27 10:46:30,9,8,B21,1
B,all cities,4,Geography,11,2,3,2019-10-27 10:46:56,10,3,B21,0
B,NW-SE,5,Geography,5,2,3,2019-10-27 10:47:09,11,7,B21,1
B,three cities,5,Hexagons,9,1,5,2019-10-27 10:47:44,12,10,B21,0
